proxy_fusion_name.starF	type.starF	sample.starF	FusionName.starF	lex_ordered_fusion_name	est_J	est_S	proxy_fusion_name.arriba	type.arriba	sample.arriba	FusionName.arriba	sum_split_reads	discordant_mates	progs
VCAP|ARMC6--SSX3	shared	VCAP	ARMC6--SSX3	VCAP|ARMC6--SSX3	4	0	NA	NA	NA	NA	NA	NA	starF
VCAP|ZDHHC7--H3F3B	shared	VCAP	ZDHHC7--H3F3B	VCAP|H3F3B--ZDHHC7	4	0	NA	NA	NA	NA	NA	NA	starF
SKBR3|TRIO--FBXL7	shared	SKBR3	TRIO--FBXL7	SKBR3|FBXL7--TRIO	3	4	SKBR3|TRIO--FBXL7	shared	SKBR3	TRIO--FBXL7	9	7	starF,arriba
HCC1395|UNC5C--STPG2	shared	HCC1395	UNC5C--STPG2	HCC1395|STPG2--UNC5C	3	3	HCC1395|UNC5C--STPG2	shared	HCC1395	UNC5C--STPG2	3	6	starF,arriba
VCAP|CNNM4--PARD3B	shared	VCAP	CNNM4--PARD3B	VCAP|CNNM4--PARD3B	3	2	VCAP|CNNM4--PARD3B	shared	VCAP	CNNM4--PARD3B	2	1	starF,arriba
K562|CEP70--FAIM	shared	K562	CEP70--FAIM	K562|CEP70--FAIM	3	1	K562|CEP70--FAIM	shared	K562	CEP70--FAIM	3	1	starF,arriba
DMS53|RPLP0--AC010524.2	shared	DMS53	RPLP0--AC010524.2	DMS53|AC010524.2--RPLP0	3	1	NA	NA	NA	NA	NA	NA	starF
HCC1395|MLLT10--AMD1P1	unique	HCC1395	MLLT10--AMD1P1	HCC1395|AMD1P1--MLLT10	3	1	HCC1395|MLLT10--AMD1P1	unique	HCC1395	MLLT10--AMD1P1	3	2	starF,arriba
NA	NA	NA	NA	HCC1187|BSDC1--MDGA1	NA	NA	HCC1187|BSDC1--MDGA1	unique	HCC1187	BSDC1--MDGA1	164	0	arriba
NA	NA	NA	NA	DMS53|RP11-440D17.5--TMEM131	NA	NA	DMS53|RP11-440D17.5--TMEM131	shared	DMS53	TMEM131--RP11-440D17.5	86	25	arriba
NA	NA	NA	NA	HCC1187|ENAH--PLEKHA6	NA	NA	HCC1187|PLEKHA6--ENAH	unique	HCC1187	PLEKHA6--ENAH	59	26	arriba
NA	NA	NA	NA	HCC1187|DAG1--RHOA	NA	NA	HCC1187|RHOA--DAG1	shared	HCC1187	RHOA--DAG1	56	13	arriba
NA	NA	NA	NA	SKBR3|REXO1L1P--TRAM1	NA	NA	SKBR3|TRAM1--REXO1L1P	unique	SKBR3	TRAM1--REXO1L1P	42	1	arriba
NA	NA	NA	NA	HCC1395|ARHGAP12--HELZ	NA	NA	HCC1395|HELZ--ARHGAP12	shared	HCC1395	HELZ--ARHGAP12	25	0	arriba
NA	NA	NA	NA	KIJK|IGSF11--RP11-484M3.5	NA	NA	KIJK|IGSF11--RP11-484M3.5	unique	KIJK	RP11-484M3.5--IGSF11	17	0	arriba
NA	NA	NA	NA	HCC1187|HIVEP1--OFCC1	NA	NA	HCC1187|OFCC1--HIVEP1	unique	HCC1187	HIVEP1--OFCC1	14	9	arriba
NA	NA	NA	NA	HCC1395|ATAD1--PTEN	NA	NA	HCC1395|ATAD1--PTEN	unique	HCC1395	ATAD1--PTEN	12	6	arriba
NA	NA	NA	NA	DMS53|R3HCC1L--RRP12	NA	NA	DMS53|RRP12--R3HCC1L	shared	DMS53	RRP12--R3HCC1L	11	4	arriba
NA	NA	NA	NA	SKBR3|STAU1--TOX2	NA	NA	SKBR3|TOX2--STAU1	unique	SKBR3	STAU1--TOX2	9	12	arriba
NA	NA	NA	NA	VCAP|LEF1-AS1--PAPSS1	NA	NA	VCAP|PAPSS1--LEF1-AS1	unique	VCAP	PAPSS1--LEF1-AS1	9	2	arriba
NA	NA	NA	NA	HCC1187|CD276--NPTN	NA	NA	HCC1187|NPTN--CD276	unique	HCC1187	NPTN--CD276	9	0	arriba
NA	NA	NA	NA	HCC1187|LINC01182--RAB28	NA	NA	HCC1187|RAB28--LINC01182	unique	HCC1187	RAB28--LINC01182	8	11	arriba
NA	NA	NA	NA	VCAP|UNK--ZDHHC7	NA	NA	VCAP|ZDHHC7--UNK	unique	VCAP	UNK--ZDHHC7	8	8	arriba
NA	NA	NA	NA	DMS53|FAM24B--PCDH15	NA	NA	DMS53|PCDH15--FAM24B	shared	DMS53	FAM24B--PCDH15	7	6	arriba
NA	NA	NA	NA	DMS53|ANKRD18B--CNTNAP3B	NA	NA	DMS53|ANKRD18B--CNTNAP3B	unique	DMS53	ANKRD18B--CNTNAP3B	7	6	arriba
NA	NA	NA	NA	SKBR3|MB21D2--RTP2	NA	NA	SKBR3|MB21D2--RTP2	shared	SKBR3	MB21D2--RTP2	6	1	arriba
